MJD Name Type Long Lat Height X Y Z Source Comment AntennaResponses
D A A D D D D D D A A A
51420.9485595826991 "ALMA" "WGS84" -67.7549290000000042 -23.0228859999999997 5056.80000000000018 1761.86742298477316 -4307.63499601741296 -1977.70831138240965 "MMA Memo 261, Radford" " +/- 5mas" "alma/responses/AntennaResponses"
52298 "ARECIBO" "WGS84" -66.7533300000000054 18.3433300000000017 496 185.819131391426851 -432.575059281531878 156.09634363595714 "taken from AE" "precision unknown" ""
50731.1918435097105 "ATCA" "ITRF" 149.550138809188525 -30.1454822356071759 6372960.25772343855 -4750915.83700000029 2792906.18200000003 -3200483.74699999997 "" "" ""
50731.1817669928496 "BIMA" "WGS84" -121.468888888888884 40.8172222222222203 1020.99999999999989 -403.372342006340659 -659.046833683929435 667.374725859098362 "GPS rx close to T" "Precision: 7ft or 0.1" ""
50731.1924471547172 "CLRO" "ITRF" -116.290002672126874 33.341667564396154 6373612.79343466274 -2358329 -4773813 3503132 "edit" "" ""
50731.1928135837225 "DRAO" "WGS84" -118.99908333333336 49.3233333333333377 545 -172.211688836690769 -310.689833211558607 413.327910704066369 "edit" "" ""
50731.193115466951 "DWL" "WGS84" 6.39687500000000142 52.8129722222222213 24.9999999999999964 15.0163911462446613 1.68352882617069199 19.9166695919382342 "edit" "" ""
50731.1933964543132 "GB" "WGS84" -79.8362499999999926 38.4380555555555574 823 113.754483951025065 -634.523987289969455 511.632902513779584 "edit" "" ""
56714 "GBT" "WGS84" -79.8398329999999987 38.4331189999999978 824.595000000000027 0 0 0 "Top of Az track (Mark McKinnon)" "Precision unknown" ""
52978.8582550347201 "GMRT" "WGS84" 74.0499721999999991 19.0906528000000009 640 166.198750856686132 581.517653726259141 209.320791175610992 "Wim Brouw" "precision unknown" ""
52953.7155389351828 "IRAM PDB" "ITRF" 5.90671007863000064 44.4413625923999973 6370258 4524009.32322254404 468046.370098508429 4460320.52944596205 "http://www.iram.es/IRAMFR/PDB/bure/node2.html" "ht at intersection of az/el axis" ""
52953.7155284259279 "IRAM_PDB" "ITRF" 5.90671007862999975 44.4413625923999973 6370242.61900999956 4523998.40000057127 468045.240000396385 4460309.76000060141 "From Dave Graham ,IRAM" "precision unknown" ""
51051.9730318803922 "JCMT" "WGS84" -155.47972222222208 19.8258333333333248 4111 -3518.55505612428533 -1605.00205392933458 1394.29542203395499 "Provided by Tony Willis, 980827" "no precision known" ""
50731.1939129474558 "MOPRA" "ITRF" 149.099651121006787 -31.09741673920362 6373280.22465041373 -4682767.90000000037 2802617.5 -3291765.60000000009 "edit" "precision: [3 3 3]m" ""
52978.8562129861093 "MOST" "WGS84" 149.423333000000014 -35.3716666999999987 732.000000000000114 -513.88611469974569 303.629001324331455 -423.738705659028938 "Almanac" "precision unknown" ""
51422.9439132279949 "NRAO12M" "WGS84" -111.61485416666666 31.9533305555555494 1914.00000000000023 -598.2219118100694 -1509.79237024149734 1012.94301073202962 "from VLBI positions & GPS" "0.02, 0.02 1m" ""
52298.0150814120352 "NRAO_GBT" "WGS84" -79.8398332999999951 38.4331194000000096 807.434999999999945 111.571795429076957 -622.573085426125544 501.902148822582888 "alternate for GBT" "precision unknown" ""
50731.1944099655884 "PKS" "ITRF" 148.263510884733989 -32.8228722956568006 6372246.30792596657 -4554231.65000000037 2816759.09700000007 -3454036.08499999996 "edit" "precision: [0.031 0.018 0.025]m" ""
